name,depedsch_id,district_id,address,school_head,position,contact_number,email,created_at,updated_at,deleted_at
Buan ES,128565,1,"Purok 1, Buan, Asuncion, Davao del Norte",Allan R. Matunhay,Head Teacher I,9190077520,128565@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Buclad ES,128566,1,"Purok 1, Buclad, Asuncion, Davao del Norte",Eufemia V. Saga,Principal I,9286215748,128566@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Cabaywa ES,128567,1,"Purok 2, Cabaywa, Asuncion, Davao del Norte",Daisy Jane C. Alinsub,Principal II,9075772173,128567@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Gavino E. Amoguis ES,128568,1,"Purok 12, Cabaywa, Asuncion, Davao del Norte",Liza C. Monteroso,Master Teacher II,9075379529,128568@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Camansa ES,128569,1,"Purok 3, Camansa, Asuncion, Davao del Norte",Ric Michael B. Morales,Head Teacher I,9976081190,128569@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Camansa Lower PS,204501,1,"Prk.5 Camansa, Asuncion DDN",Leonardo B. Item,Head Teacher I,9677496030,204501@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Cambanogoy CES,128570,1,"Purok 2, Cambanogoy, Asuncion ,DDN",Dr. Marlene P. Basa,Principal IV,9467212798,128570@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Camoning ES,128571,1,"Purok Mahayahay , Camoning , Asuncion , Davao del Norte",Grace A. Desonia,Principal IV,9065415843,128571@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Canatan ES,128572,1,"Purok 1,Canatan, Asuncion, Davao del Norte",Arnulfo P. Pacaña,Principal I,9988638962,128572@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Concepcion ES,128573,1,"Purok 2, Concepcion, Asuncion, Davao del Norte",Rey T. Aguelo,Principal I,9108777177,128573@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Katipunan ES,128575,1,"Purok 3, Doña Andrea, Asuncion, Davao del Norte",Restituto A. Digal Jr.,Principal IV,9338295371,128575@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Liguyon ES,128577,1,"Liguyon, Binancian,  Asuncion, Davao del Norte",Jonel F. Muyco,Head Teacher IV,9914172144,128577@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Magbaad ES,128579,1,"Purok 14, Magbaad, Sagayen, Asuncion, Davao del Norte ",Ian Flor M. Dosado,Head Teacher II,9307260416,128579@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Mahayahay PS,128580,1,"Purok 17, Mahayahay, Cambanogoy, Asuncion, Davao del Norte",Rolina S. Soroño,Master Teacher II,9392066190,128580@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
Napungas ES,128582,1,"Purok 3, Napungas, Asuncion, Davao del Norte",Cecilia A. Advincula,Principal II,9487712383,128582@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
New Bantayan ES,128583,1,"Purok 1, New Bantayan, Asuncion, Davao del Norte",Faith Katherine A. Corpuz,Principal I,9073695955,128583@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
New Loon ES,128584,1,"Purok 1, New Loon, Asuncion, Davao del Norte ",Ophelia A. Roca,Principal III,9176278992,128584@deped.gov.ph,7/14/2025 3:29,7/14/2025 3:29,
